Date,Open,High,Low,Close,Adj Close,Volume
2015-10-16,1240.449951,1246,1235,1236,1097.300781,2333828
2015-10-19,1245,1247.474976,1227.925049,1244.375,1104.73584,3130642
2015-10-20,1248.125,1265,1247.800049,1263.375,1121.603638,2695084
2015-10-21,1267.5,1271,1261.125,1265,1127.957153,1929688
2015-10-23,1274,1274,1263.650024,1268.574951,1133.609009,2335398
2015-10-26,1274.5,1274.5,1257.550049,1268.275024,1133.34082,1414630
2015-10-27,1265.025024,1272.449951,1260.175049,1265.550049,1130.906006,1530420
2015-10-28,1255.025024,1266.775024,1255.025024,1264.550049,1130.012451,1255342
2015-10-29,1266.775024,1267.699951,1245.025024,1247.675049,1114.932495,3130316
2015-10-30,1250,1255.949951,1242.5,1247.599976,1114.865356,1516696
2015-11-02,1250,1261.400024,1243.775024,1258.675049,1124.762329,1319294
2015-11-03,1264,1273.900024,1259.25,1271.724976,1136.423584,1364906
2015-11-04,1272.5,1273.599976,1260,1266.900024,1132.112427,991434
2015-11-05,1265.400024,1267.474976,1240,1241.324951,1109.258301,1596098
2015-11-06,1246,1259.125,1241.724976,1252.875,1119.578979,908024
2015-11-09,1247.5,1251.375,1234.300049,1235.675049,1104.209351,2021556
2015-11-10,1236.474976,1238.5,1225,1229.074951,1098.311523,1361920
2015-11-13,1219.025024,1219.025024,1193.275024,1198.699951,1071.167847,2743232
2015-11-16,1195,1195,1178,1187.300049,1060.980835,2043528
2015-11-17,1190.25,1199.224976,1187.5,1195.275024,1068.107666,1985028
2015-11-18,1194.449951,1194.449951,1173,1175.724976,1050.637451,1520352
2015-11-19,1182.675049,1190.800049,1176,1181.275024,1055.596924,1866906
2015-11-20,1183.25,1211.775024,1180.974976,1199.175049,1071.592529,2012126
2015-11-23,1202.650024,1206.699951,1191.125,1195.525024,1068.331055,1088082
2015-11-24,1190.025024,1196.224976,1182.75,1183.974976,1058.009888,998640
2015-11-26,1188.949951,1191.199951,1168.925049,1172.775024,1048.001465,2915292
2015-11-27,1174,1179.724976,1166.25,1176.675049,1051.486328,1737206
2015-11-30,1182.5,1195.625,1175.074951,1186.775024,1060.512085,4100048
2015-12-01,1181.449951,1189.025024,1178.525024,1180.949951,1055.306396,1721994
2015-12-02,1189,1189.050049,1173.25,1182.599976,1056.781128,1640296
2015-12-03,1180,1186.5,1173.5,1175.375,1050.324585,2283358
2015-12-04,1170,1173.650024,1160.550049,1164.199951,1040.338501,1246092
2015-12-07,1166.099976,1171.949951,1157.625,1159.900024,1036.496094,1382604
2015-12-08,1159.699951,1174.5,1158.650024,1164.5,1040.606812,1139964
2015-12-09,1168.949951,1186.400024,1160,1183.824951,1057.875488,5282806
2015-12-10,1184.5,1195.599976,1176,1192.275024,1065.426758,1723988
2015-12-11,1191.5,1195.974976,1181.625,1193,1066.074585,1652378
2015-12-14,1167.599976,1193.5,1165.300049,1189.224976,1062.701294,2718532
2015-12-15,1189.224976,1192.5,1181.525024,1187.925049,1061.539429,1135868
2015-12-16,1192,1207.25,1192,1204.199951,1076.082886,1435934
2015-12-17,1207.5,1222.5,1196.675049,1219.875,1090.090454,1618844
2015-12-18,1210,1217.099976,1200.324951,1208.400024,1079.835938,3024970
2015-12-21,1209.974976,1225,1203.425049,1223.199951,1093.061401,1610104
2015-12-22,1220,1220,1200,1202.525024,1074.586182,1560858
2015-12-23,1207.5,1217.5,1205.275024,1212.900024,1083.857544,849834
2015-12-24,1210.5,1219.099976,1202,1217.125,1087.632935,843160
2015-12-28,1214,1233.199951,1210.099976,1231.349976,1100.344604,3704198
2015-12-29,1229.175049,1232.650024,1222.875,1227.900024,1097.261475,1708524
2015-12-30,1226.525024,1229.5,1206.150024,1209.150024,1080.506348,1605762
2015-12-31,1207.875,1224.25,1203.75,1218.425049,1088.794556,1240318
2016-01-01,1219.5,1219.5,1206.125,1208.199951,1079.657104,712262
2016-01-04,1205.074951,1207,1183.025024,1184.800049,1058.747314,1870184
2016-01-05,1192.5,1193.300049,1170.5,1174.474976,1049.520508,2678020
2016-01-06,1175.099976,1193.074951,1175.099976,1190.800049,1064.109131,2653228
2016-01-07,1185,1191.449951,1180,1185.625,1059.484375,3199580
2016-01-08,1192.5,1203.675049,1186.25,1198.800049,1071.257202,1907544
2016-01-11,1191.25,1192,1174.425049,1181.175049,1055.50769,2930228
2016-01-12,1181.349976,1182.5,1150.800049,1163.525024,1039.735718,3482594
2016-01-13,1158.5,1163.5,1127.550049,1139.599976,1018.356079,4746092
2016-01-14,1136.5,1149.449951,1125,1139.400024,1018.177124,2742052
2016-01-15,1144.425049,1145.849976,1127.5,1130.550049,1010.268921,3269408
2016-01-18,1131,1145.949951,1130,1138.824951,1017.663147,2213922
2016-01-19,1138.5,1150,1134.150024,1139.650024,1018.400635,967910
2016-01-20,1136.900024,1142.5,1121.5,1140.050049,1018.757935,1615954
2016-01-21,1142.5,1144.949951,1122.875,1127.25,1009.755493,2675536
2016-01-22,1136.5,1151.025024,1130,1147.875,1028.230835,1343178
2016-01-25,1150.949951,1169.5,1145.75,1152.324951,1032.216797,1397560
2016-01-27,1151,1164.974976,1140.949951,1159.875,1038.979858,1626986
2016-01-28,1157.75,1174.449951,1154.025024,1165.599976,1044.108398,3106660
2016-01-29,1179.349976,1200,1167.525024,1195.650024,1071.026245,2235744
2016-02-01,1195.550049,1206.474976,1179.5,1201.349976,1076.131714,1495274
2016-02-02,1204.5,1216.5,1189.849976,1199.050049,1074.072021,1475588
2016-02-03,1193.75,1214.949951,1180.150024,1208.150024,1082.223022,1308692
2016-02-04,1210.949951,1220,1201,1210.025024,1083.90271,1250046
2016-02-05,1204.050049,1219.974976,1204.050049,1210.974976,1084.75415,1402996
2016-02-08,1200,1206.025024,1173.5,1181.474976,1058.328613,1063658
2016-02-09,1166.800049,1166.800049,1127.800049,1140.699951,1021.803528,2489610
2016-02-10,1137.5,1144.949951,1129.050049,1134.400024,1016.160461,1890732
2016-02-11,1140,1144.5,1085.824951,1098.974976,984.427307,1962408
2016-02-12,1100,1121.699951,1082,1113.300049,997.259521,2172568
2016-02-15,1125,1153.425049,1120,1134.574951,1016.316895,2479712
2016-02-16,1133,1141,1121.5,1132.775024,1014.704773,1588702
2016-02-17,1132.5,1139.824951,1123.199951,1137.775024,1019.184021,1585178
2016-02-18,1142.5,1159.875,1139,1157.925049,1037.232788,1529140
2016-02-19,1153.675049,1163.5,1152.724976,1159.824951,1038.935303,879012
2016-02-22,1160.125,1171.5,1152.5,1157.949951,1037.255981,1324884
2016-02-23,1155.125,1159.949951,1128.375,1132,1014.010681,1306852
2016-02-24,1131.224976,1131.224976,1100.599976,1105.474976,990.250183,1659328
2016-02-25,1109.900024,1114,1092.824951,1106.425049,991.101135,1830556
2016-02-26,1114.849976,1128.449951,1099.800049,1105.25,990.048706,1537536
2016-02-29,1118.5,1118.5,1057.5,1088.400024,974.954651,2191718
2016-03-01,1096.5,1142.550049,1081,1138.324951,1019.676208,1999760
2016-03-02,1152.5,1165,1128.125,1159.425049,1038.577026,1527486
2016-03-03,1168,1195.5,1150.5,1186.574951,1062.896851,2648284
2016-03-04,1190,1190,1174.775024,1178.775024,1055.910156,1512966
2016-03-08,1171.050049,1183.5,1152.099976,1177.150024,1054.454468,1268152
2016-03-09,1170.5,1184.699951,1147.574951,1178.625,1055.775757,2017784
2016-03-10,1178.025024,1179.925049,1157.474976,1174.150024,1051.76709,1661666
